id,venta,producto,cantidad,fecha,metodo de pago
1,1,2,2026-01-10,efectivo
2,2,1,2026-01-11,tarjeta
3,3,1,2026-01-12,nequi
4,4,2,2026-01-13,tarjeta
5,5,1,2026-01-14,efectivo
6,6,3,2026-01-15,tarjeta
7,7,1,2026-01-16,nequi
8,8,2,2026-01-17,efectivo
9,9,1,2026-01-18,tarjeta
10,10,2,2026-01-19,nequi
11,11,1,2026-01-20,efectivo
12,12,2,2026-01-21,tarjeta
13,13,1,2026-01-22,nequi
14,14,2,2026-01-23,tarjeta
15,15,1,2026-01-24,efectivo
16,16,3,2026-01-25,tarjeta
17,17,1,2026-01-26,nequi
18,18,2,2026-01-27,efectivo
19,19,1,2026-01-28,tarjeta
20,20,2,2026-01-29,nequi
21,21,2,2026-02-01,efectivo
22,22,1,2026-02-02,tarjeta
23,23,1,2026-02-03,nequi
24,24,2,2026-02-04,tarjeta
25,25,1,2026-02-05,efectivo
26,26,3,2026-02-06,tarjeta
27,27,1,2026-02-07,nequi
28,28,2,2026-02-08,efectivo
29,29,1,2026-02-09,tarjeta
30,30,2,2026-02-10,nequi
31,31,2,2026-02-11,efectivo
32,32,1,2026-02-12,tarjeta
33,33,1,2026-02-13,nequi
34,34,2,2026-02-14,tarjeta
35,35,1,2026-02-15,efectivo
36,36,3,2026-02-16,tarjeta
37,37,1,2026-02-17,nequi
38,38,2,2026-02-18,efectivo
39,39,1,2026-02-19,tarjeta
40,40,2,2026-02-20,nequi
41,41,2,2026-02-21,efectivo
42,42,1,2026-02-22,tarjeta
43,43,1,2026-02-23,nequi
44,44,2,2026-02-24,tarjeta
45,45,1,2026-02-25,efectivo
46,46,3,2026-02-26,tarjeta
47,47,1,2026-02-27,nequi
48,48,2,2026-02-28,efectivo
49,49,1,2026-03-01,tarjeta
50,50,2,2026-03-02,nequi
51,51,2,2026-03-03,efectivo
52,52,1,2026-03-04,tarjeta
53,53,1,2026-03-05,nequi
54,54,2,2026-03-06,tarjeta
55,55,1,2026-03-07,efectivo
56,56,3,2026-03-08,tarjeta
57,57,1,2026-03-09,nequi
58,58,2,2026-03-10,efectivo
59,59,1,2026-03-11,tarjeta
60,60,2,2026-03-12,nequi
61,61,2,2026-03-13,efectivo
62,62,1,2026-03-14,tarjeta
63,63,1,2026-03-15,nequi
64,64,2,2026-03-16,tarjeta
65,65,1,2026-03-17,efectivo
66,66,3,2026-03-18,tarjeta
67,67,1,2026-03-19,nequi
68,68,2,2026-03-20,efectivo
69,69,1,2026-03-21,tarjeta
70,70,2,2026-03-22,nequi
71,71,2,2026-03-23,efectivo
72,72,1,2026-03-24,tarjeta
73,73,1,2026-03-25,nequi
74,74,2,2026-03-26,tarjeta
75,75,1,2026-03-27,efectivo
76,76,3,2026-03-28,tarjeta
77,77,1,2026-03-29,nequi
78,78,2,2026-03-30,efectivo
79,79,1,2026-03-31,tarjeta
80,80,2,2026-04-01,nequi
81,81,2,2026-04-02,efectivo
82,82,1,2026-04-03,tarjeta
83,83,1,2026-04-04,nequi
84,84,2,2026-04-05,tarjeta
85,85,1,2026-04-06,efectivo
86,86,3,2026-04-07,tarjeta
87,87,1,2026-04-08,nequi
88,88,2,2026-04-09,efectivo
89,89,1,2026-04-10,tarjeta
90,90,2,2026-04-11,nequi
91,91,2,2026-04-12,efectivo
92,92,1,2026-04-13,tarjeta
93,93,1,2026-04-14,nequi
94,94,2,2026-04-15,tarjeta
95,95,1,2026-04-16,efectivo
96,96,3,2026-04-17,tarjeta
97,97,1,2026-04-18,nequi
98,98,2,2026-04-19,efectivo
99,99,1,2026-04-20,tarjeta
100,100,2,2026-04-21,nequi
